@relation canaAcucarSP

@attribute Cidade {'Adamantina - SP','Adolfo - SP','Aguaí - SP','Águas de Santa Bárbara - SP','Agudos - SP','Alambari - SP','Altair - SP','Altinópolis - SP','Alto Alegre - SP','Alumínio - SP','Álvares Florence - SP','Americana - SP','Américo Brasiliense - SP','Américo de Campos - SP','Amparo - SP','Analândia - SP','Andradina - SP','Angatuba - SP','Anhembi - SP','Anhumas - SP','Aparecida dOeste - SP','Apiaí - SP','Araçariguama - SP','Araçatuba - SP','Araçoiaba da Serra - SP','Aramina - SP','Arandu - SP','Arapeí - SP','Araraquara - SP','Araras - SP','Arco-Íris - SP','Arealva - SP','Areias - SP','Areiópolis - SP','Ariranha - SP','Artur Nogueira - SP','Assis - SP','Atibaia - SP','Auriflama - SP','Avaí - SP','Avanhandava - SP','Avaré - SP','Bady Bassitt - SP','Balbinos - SP','Bálsamo - SP','Bananal - SP','Barbosa - SP','Bariri - SP','Barra Bonita - SP','Barretos - SP','Barrinha - SP','Bastos - SP','Batatais - SP','Bauru - SP','Bebedouro - SP','Bento de Abreu - SP','Bernardino de Campos - SP','Bilac - SP','Birigui - SP','Boa Esperança do Sul - SP','Bocaina - SP','Bofete - SP','Boituva - SP','Borá - SP','Boracéia - SP','Borborema - SP','Borebi - SP','Botucatu - SP','Bragança Paulista - SP','Braúna - SP','Brejo Alegre - SP','Brodowski - SP','Brotas - SP','Buritama - SP','Buritizal - SP','Cabrália Paulista - SP','Cabreúva - SP','Caçapava - SP','Caconde - SP','Cafelândia - SP','Caiabu - SP','Caiuá - SP','Cajobi - SP','Cajuru - SP','Campina do Monte Alegre - SP','Campinas - SP','Campos Novos Paulista - SP','Cândido Mota - SP','Cândido Rodrigues - SP','Canitar - SP','Capela do Alto - SP','Capivari - SP','Cardoso - SP','Casa Branca - SP','Cássia dos Coqueiros - SP','Castilho - SP','Catanduva - SP','Catiguá - SP','Cedral - SP','Cerqueira César - SP','Cerquilho - SP','Cesário Lange - SP','Charqueada - SP','Chavantes - SP','Clementina - SP','Colina - SP','Colômbia - SP','Conchal - SP','Conchas - SP','Cordeirópolis - SP','Coroados - SP','Coronel Macedo - SP','Corumbataí - SP','Cosmópolis - SP','Cosmorama - SP','Cravinhos - SP','Cristais Paulista - SP','Cruzália - SP','Cruzeiro - SP','Descalvado - SP','Divinolândia - SP','Dobrada - SP','Dois Córregos - SP','Dourado - SP','Dracena - SP','Duartina - SP','Dumont - SP','Echaporã - SP','Elias Fausto - SP','Elisiário - SP','Embaúba - SP','Emilianópolis - SP','Engenheiro Coelho - SP','Espírito Santo do Pinhal - SP','Espírito Santo do Turvo - SP','Estiva Gerbi - SP','Estrela do Norte - SP','Estrela dOeste - SP','Euclides da Cunha Paulista - SP','Fernando Prestes - SP','Fernandópolis - SP','Fernão - SP','Flora Rica - SP','Floreal - SP','Flórida Paulista - SP','Florínia - SP','Franca - SP','Gabriel Monteiro - SP','Gastão Vidigal - SP','Gavião Peixoto - SP','General Salgado - SP','Getulina - SP','Glicério - SP','Guaiçara - SP','Guaimbê - SP','Guaíra - SP','Guapiaçu - SP','Guará - SP','Guaraçaí - SP','Guaraci - SP','Guarani dOeste - SP','Guarantã - SP','Guararapes - SP','Guareí - SP','Guariba - SP','Guatapará - SP','Guzolândia - SP','Herculândia - SP','Holambra - SP','Hortolândia - SP','Iacanga - SP','Iacri - SP','Iaras - SP','Ibaté - SP','Ibirá - SP','Ibirarema - SP','Ibitinga - SP','Ibiúna - SP','Icém - SP','Iepê - SP','Igaraçu do Tietê - SP','Igarapava - SP','Ilha Solteira - SP','Indaiatuba - SP','Indiana - SP','Indiaporã - SP','Inúbia Paulista - SP','Ipaussu - SP','Iperó - SP','Ipeúna - SP','Ipiguá - SP','Ipuã - SP','Iracemápolis - SP','Irapuã - SP','Irapuru - SP','Itaberá - SP','Itaí - SP','Itajobi - SP','Itaju - SP','Itapetininga - SP','Itapeva - SP','Itapira - SP','Itápolis - SP','Itaporanga - SP','Itapuí - SP','Itapura - SP','Itatiba - SP','Itatinga - SP','Itirapina - SP','Itirapuã - SP','Itobi - SP','Itu - SP','Itupeva - SP','Ituverava - SP','Jaborandi - SP','Jaboticabal - SP','Jaci - SP','Jaguariúna - SP','Jardinópolis - SP','Jarinu - SP','Jaú - SP','Jeriquara - SP','Joanópolis - SP','João Ramalho - SP','José Bonifácio - SP','Júlio Mesquita - SP','Jumirim - SP','Jundiaí - SP','Junqueirópolis - SP','Laranjal Paulista - SP','Lavínia - SP','Leme - SP','Lençóis Paulista - SP','Limeira - SP','Lindóia - SP','Lins - SP','Lourdes - SP','Lucélia - SP','Lucianópolis - SP','Luís Antônio - SP','Luiziânia - SP','Lutécia - SP','Macatuba - SP','Macaubal - SP','Macedônia - SP','Magda - SP','Mairinque - SP','Manduri - SP','Marabá Paulista - SP','Maracaí - SP','Marapoama - SP','Mariápolis - SP','Marília - SP','Martinópolis - SP','Matão - SP','Mendonça - SP','Meridiano - SP','Mesópolis - SP','Miguelópolis - SP','Mineiros do Tietê - SP','Mira Estrela - SP','Mirandópolis - SP','Mirante do Paranapanema - SP','Mirassol - SP','Mirassolândia - SP','Mococa - SP','Mogi Guaçu - SP','Moji Mirim - SP','Mombuca - SP','Monções - SP','Monte Alegre do Sul - SP','Monte Alto - SP','Monte Aprazível - SP','Monte Azul Paulista - SP','Monte Castelo - SP','Monte Mor - SP','Morro Agudo - SP','Motuca - SP','Murutinga do Sul - SP','Nantes - SP','Narandiba - SP','Natividade da Serra - SP','Nazaré Paulista - SP','Neves Paulista - SP','Nhandeara - SP','Nipoã - SP','Nova Aliança - SP','Nova Canaã Paulista - SP','Nova Castilho - SP','Nova Europa - SP','Nova Granada - SP','Nova Guataporanga - SP','Nova Independência - SP','Nova Luzitânia - SP','Nova Odessa - SP','Novais - SP','Novo Horizonte - SP','Nuporanga - SP','Ocauçu - SP','Óleo - SP','Olímpia - SP','Onda Verde - SP','Oriente - SP','Orindiúva - SP','Orlândia - SP','Oscar Bressane - SP','Osvaldo Cruz - SP','Ourinhos - SP','Ouro Verde - SP','Ouroeste - SP','Pacaembu - SP','Palestina - SP','Palmares Paulista - SP','Palmital - SP','Paraguaçu Paulista - SP','Paraibuna - SP','Paraíso - SP','Paranapanema - SP','Paranapuã - SP','Parapuã - SP','Pardinho - SP','Pariquera-Açu - SP','Parisi - SP','Patrocínio Paulista - SP','Paulicéia - SP','Paulínia - SP','Paulistânia - SP','Paulo de Faria - SP','Pederneiras - SP','Pedra Bela - SP','Pedranópolis - SP','Pedregulho - SP','Pedreira - SP','Pedrinhas Paulista - SP','Penápolis - SP','Pereira Barreto - SP','Pereiras - SP','Piacatu - SP','Piedade - SP','Pindamonhangaba - SP','Pindorama - SP','Piquerobi - SP','Piracaia - SP','Piracicaba - SP','Piraju - SP','Pirajuí - SP','Pirangi - SP','Pirapozinho - SP','Pirassununga - SP','Piratininga - SP','Pitangueiras - SP','Planalto - SP','Platina - SP','Poloni - SP','Pompéia - SP','Pongaí - SP','Pontal - SP','Pontalinda - SP','Pontes Gestal - SP','Populina - SP','Porangaba - SP','Porto Feliz - SP','Porto Ferreira - SP','Potirendaba - SP','Pracinha - SP','Pradópolis - SP','Pratânia - SP','Presidente Alves - SP','Presidente Bernardes - SP','Presidente Epitácio - SP','Presidente Prudente - SP','Presidente Venceslau - SP','Promissão - SP','Quadra - SP','Quatá - SP','Queiroz - SP','Queluz - SP','Quintana - SP','Rafard - SP','Rancharia - SP','Regente Feijó - SP','Reginópolis - SP','Restinga - SP','Ribeira - SP','Ribeirão Bonito - SP','Ribeirão Corrente - SP','Ribeirão do Sul - SP','Ribeirão dos Índios - SP','Ribeirão Preto - SP','Rifaina - SP','Rincão - SP','Rinópolis - SP','Rio Claro - SP','Rio das Pedras - SP','Riolândia - SP','Riversul - SP','Rosana - SP','Rubiácea - SP','Sabino - SP','Sagres - SP','Sales - SP','Sales Oliveira - SP','Salmourão - SP','Saltinho - SP','Salto - SP','Salto de Pirapora - SP','Salto Grande - SP','Sandovalina - SP','Santa Adélia - SP','Santa Albertina - SP','Santa Bárbara dOeste - SP','Santa Cruz da Conceição - SP','Santa Cruz da Esperança - SP','Santa Cruz das Palmeiras - SP','Santa Cruz do Rio Pardo - SP','Santa Ernestina - SP','Santa Gertrudes - SP','Santa Lúcia - SP','Santa Maria da Serra - SP','Santa Mercedes - SP','Santa Rita do Passa Quatro - SP','Santa Rosa de Viterbo - SP','Santa Salete - SP','Santana da Ponte Pensa - SP','Santo Anastácio - SP','Santo Antônio da Alegria - SP','Santo Antônio de Posse - SP','Santo Antônio do Aracanguá - SP','Santo Expedito - SP','Santópolis do Aguapeí - SP','São Carlos - SP','São João da Boa Vista - SP','São João das Duas Pontes - SP','São João de Iracema - SP','São Joaquim da Barra - SP','São José da Bela Vista - SP','São José do Barreiro - SP','São José do Rio Pardo - SP','São José do Rio Preto - SP','São José dos Campos - SP','São Luís do Paraitinga - SP','São Manuel - SP','São Pedro - SP','São Pedro do Turvo - SP','São Roque - SP','São Sebastião da Grama - SP','São Simão - SP','Sarutaiá - SP','Sebastianópolis do Sul - SP','Serra Azul - SP','Serra Negra - SP','Serrana - SP','Sertãozinho - SP','Severínia - SP','Silveiras - SP','Socorro - SP','Sorocaba - SP','Sud Mennucci - SP','Sumaré - SP','Suzanápolis - SP','Tabapuã - SP','Tabatinga - SP','Taciba - SP','Taguaí - SP','Taiaçu - SP','Taiúva - SP','Tambaú - SP','Tanabi - SP','Tapiraí - SP','Tapiratiba - SP','Taquaral - SP','Taquaritinga - SP','Taquarituba - SP','Taquarivaí - SP','Tarabai - SP','Tarumã - SP','Tatuí - SP','Tejupá - SP','Teodoro Sampaio - SP','Terra Roxa - SP','Tietê - SP','Timburi - SP','Torrinha - SP','Trabiju - SP','Tupã - SP','Tupi Paulista - SP','Turiúba - SP','Turmalina - SP','Ubarana - SP','Ubirajara - SP','Uchoa - SP','União Paulista - SP','Urânia - SP','Uru - SP','Urupês - SP','Valentim Gentil - SP','Valparaíso - SP','Vargem - SP','Vargem Grande do Sul - SP','Viradouro - SP','Vista Alegre do Alto - SP','Vitória Brasil - SP','Votorantim - SP','Votuporanga - SP','Zacarias - SP'}
@attribute 'Área plantada (Hectares)' numeric
@attribute 'Área colhida (Hectares)' numeric
@attribute 'Quantidade produzida (Toneladas)' numeric
@attribute 'Valor da produção (Mil Reais)' numeric
@attribute 'Rendimento médio da produção (Quilogramas por Hectare)' numeric
@attribute 'rendimento por hectare' numeric
@attribute 'arado subsolador' numeric
@attribute 'carregadeira de cana' numeric
@attribute 'conjunto de irrigação aotopropelido' numeric
@attribute terraceador numeric
@attribute engenho numeric
@attribute 'Total máquinas' numeric
@attribute upa-cana numeric
@attribute 'upa total' numeric

@data
'Dourado - SP',8577,8577,729045,23621,85000,85,2,1,1,1,0,5,103,310
'Dracena - SP',8500,8500,935000,29920,110000,110,19,20,1,10,1,51,318,2144
'Duartina - SP',170,170,14450,468,85000,85,9,3,0,3,0,15,180,1086
'Dumont - SP',8500,8500,765000,23409,90000,90,30,19,0,1,1,51,229,249
'Echaporã - SP',3479,3479,344687,11168,99076,99.076,26,3,0,4,0,33,71,725
'Elias Fausto - SP',12100,12100,1089000,38257,90000,90,53,17,2,14,0,86,179,686
'Elisiário - SP',5200,5200,468000,14040,90000,90,4,3,1,2,0,10,76,295
'Embaúba - SP',3500,3500,297500,15776,85000,85,5,3,0,1,0,9,131,400
'Emilianópolis - SP',2651,2651,198109,5943,74729,74.729,1,1,1,1,0,4,74,397
'Engenheiro Coelho - SP',847,847,64372,2086,76000,76,21,2,2,3,0,28,20,736
'Espírito Santo do Pinhal - SP',1300,1300,110500,3580,85000,85,31,1,2,1,1,36,37,1599
'Espírito Santo do Turvo - SP',5000,5000,375000,12150,75000,75,6,35,0,2,500,543,59,361
'Estiva Gerbi - SP',700,700,46900,1520,67000,67,8,0,4,0,0,12,12,223
'Estrela do Norte - SP',90,90,6300,189,70000,70,1,0,0,1,0,2,58,418
'Estrela dOeste - SP',3500,3500,336000,10003,96000,96,22,1,2,5,1,31,133,1047
'Euclides da Cunha Paulista - SP',200,200,14000,406,70000,70,7,0,1,3,2,13,99,1367
'Fernando Prestes - SP',7000,7000,700000,22680,100000,100,10,0,0,1,0,11,399,1483
'Fernandópolis - SP',10000,10000,800000,23816,80000,80,27,30,3,11,3,74,326,1550
'Fernão - SP',200,200,24000,672,120000,120,10,1,0,1,0,12,61,766
'Flora Rica - SP',2600,2600,260000,7849,100000,100,1,0,0,6,0,7,37,283
'Floreal - SP',700,700,63000,1701,90000,90,7,3,0,2,0,12,164,676
'Flórida Paulista - SP',23000,23000,2070000,62493,90000,90,27,15,0,12,3,57,399,1417
'Florínia - SP',9500,9500,855000,27360,90000,90,28,2,0,6,1,37,101,381
'Franca - SP',2600,2600,208000,5824,80000,80,38,0,2,3,1,44,171,1871
'Gabriel Monteiro - SP',3700,3700,292670,8370,79100,79.1,4,0,0,1,0,5,69,545
'Gastão Vidigal - SP',2100,2100,199500,5586,95000,95,5,1,0,3,0,9,165,641
'Gavião Peixoto - SP',6408,6408,512640,8715,80000,80,3,0,0,2,0,5,90,321
'General Salgado - SP',9627,9627,793001,25915,82372,82.372,18,7,1,14,0,40,330,952
'Getulina - SP',1960,1960,156428,5068,79810,79.81,9,0,10,9,1,29,222,1019
'Glicério - SP',7900,7900,750500,16511,95000,95,7,0,2,0,0,9,178,663
'Guaiçara - SP',10500,10500,735000,23814,70000,70,38,4,0,0,0,42,115,487
'Guaimbê - SP',900,900,72000,2333,80000,80,6,0,0,2,0,8,66,689
'Guaíra - SP',55000,55000,5100000,91800,92727,92.727,119,144,39,55,3,360,407,2020
'Guapiaçu - SP',15939,15939,1434510,43035,90000,90,25,1,0,9,0,35,236,905
'Guará - SP',22021,22021,1871785,54282,85000,85,45,0,0,15,0,60,305,581
'Guaraçaí - SP',10000,10000,900000,26100,90000,90,3,1,0,5,0,9,230,1411
'Guaraci - SP',20640,20640,1754400,31579,85000,85,46,4,2,11,0,63,104,521
'Guarani dOeste - SP',320,320,32000,793,100000,100,14,0,0,8,0,22,34,238
'Guarantã - SP',1000,1000,80000,2592,80000,80,8,1,0,4,2,15,115,780
'Guararapes - SP',40500,40500,3645000,101696,90000,90,33,3,1,26,0,63,276,1158
'Guareí - SP',2400,2400,240000,7776,100000,100,12,4,0,0,0,16,180,2585
'Guariba - SP',17200,17200,1548000,47369,90000,90,11,60,2,1,0,74,173,283
'Guatapará - SP',23548,23548,2119320,63050,90000,90,26,7,0,4,0,37,239,608
'Guzolândia - SP',251,251,22042,721,87816,87.816,11,4,2,12,1,30,115,593
'Herculândia - SP',5318,5118,460620,16334,90000,90,6,3,1,4,0,14,156,867
'Holambra - SP',300,300,33000,1069,110000,110,60,0,25,1,0,86,26,699
'Hortolândia - SP',700,700,42000,1361,60000,60,7,1,6,1,0,15,3,92
'Iacanga - SP',14720,14720,1177600,65946,80000,80,3,5,0,2,0,10,162,677
'Iacri - SP',5500,4000,320000,11347,80000,80,9,0,0,5,0,14,109,856
'Iaras - SP',2500,2500,187500,5625,75000,75,4,2,0,0,1,7,136,1292
'Ibaté - SP',17000,17000,1428000,46267,84000,84,18,15,0,4,0,37,95,233
'Ibirá - SP',5756,5756,575600,17268,100000,100,20,0,4,5,5,34,266,1062
'Ibirarema - SP',10100,10100,858500,27472,85000,85,38,2,0,6,0,46,204,862
'Ibitinga - SP',20200,20200,1717000,51510,85000,85,11,1,0,4,1,17,423,1801
'Ibiúna - SP',126,126,7509,210,59595,59.595,171,1,2,285,0,459,13,3176
'Icém - SP',6850,6850,616500,18495,90000,90,4,0,3,1,1,9,44,214
'Iepê - SP',10307,10307,824560,23640,80000,80,35,0,1,10,2,48,94,715
'Igaraçu do Tietê - SP',6400,6400,563200,10138,88000,88,36,14,1,6,1,58,178,205
'Igarapava - SP',2700,2700,216000,6264,80000,80,17,56,0,1,0,74,427,801
'Ilha Solteira - SP',10954,10954,985860,32218,90000,90,7,0,1,8,1,17,219,1162
'Indaiatuba - SP',2500,2500,200000,7026,80000,80,28,2,5,5,2,42,41,971
'Indiana - SP',77,77,6930,208,90000,90,7,0,0,0,0,7,101,813
'Indiaporã - SP',1240,1240,99200,2953,80000,80,32,0,0,4,0,36,112,770
'Inúbia Paulista - SP',3302,3302,264160,7975,80000,80,2,6,0,5,0,13,58,327
'Ipaussu - SP',12500,12500,1000000,32400,80000,80,1,1,1,4,2,9,90,214
'Iperó - SP',630,630,50400,1613,80000,80,10,2,0,2,0,14,111,801
'Ipeúna - SP',4300,4300,335400,11404,78000,78,17,23,1,5,1,47,258,754
'Ipiguá - SP',1600,1600,128000,3840,80000,80,8,5,0,1,0,14,83,590
'Ipuã - SP',27900,27900,2511000,72819,90000,90,60,1,0,24,3,88,291,648
'Iracemápolis - SP',8500,8500,765000,21420,90000,90,20,48,6,5,1,80,78,163
'Irapuã - SP',6270,6270,501600,15048,80000,80,18,2,8,3,1,32,183,955
'Irapuru - SP',7000,7000,700000,21133,100000,100,4,0,4,1,0,9,102,1114
'Itaberá - SP',120,120,3000,90,25000,25,84,6,1,21,7,119,91,3253
'Itaí - SP',16748,16748,1507320,45220,90000,90,53,29,34,13,2,131,181,1762
'Itajobi - SP',24300,24300,1944000,58320,80000,80,12,0,2,5,0,19,620,2302
'Itaju - SP',6000,6000,480000,8640,80000,80,13,0,4,0,0,17,251,735
'Itapetininga - SP',11800,11800,955340,32482,80961,80.961,121,14,45,34,8,222,409,5840
'Itapeva - SP',7000,7000,700000,21000,100000,100,50,4,10,39,6,109,249,4467
'Itapira - SP',13703,13703,1233270,39958,90000,90,33,16,16,4,9,78,196,1868
'Itápolis - SP',35000,35000,2800000,84000,80000,80,220,0,6,3,2,231,527,3814
'Itaporanga - SP',700,700,56000,1568,80000,80,12,16,2,8,1,39,125,1675
'Itapuí - SP',8500,8500,850000,15300,100000,100,17,8,1,1,0,27,175,253
'Itapura - SP',1834,1834,183301,5994,99946,99.946,1,0,1,4,0,6,73,357
'Itatiba - SP',300,300,24000,696,80000,80,51,3,1,2,1,58,34,1554
'Itatinga - SP',800,800,48000,1440,60000,60,21,0,2,13,0,36,179,1350
'Itirapina - SP',5600,5600,392000,13328,70000,70,0,1,0,4,0,5,218,989
'Itirapuã - SP',200,200,16000,352,80000,80,10,1,0,4,4,19,81,749
'Itobi - SP',2400,2400,192000,6221,80000,80,49,0,0,1,0,50,60,875
'Itu - SP',700,700,49000,1721,70000,70,4,4,1,7,2,18,92,922
'Itupeva - SP',15,15,1050,35,70000,70,31,2,4,32,1,70,3,571
'Ituverava - SP',49000,49000,4410000,127890,90000,90,22,2,0,6,0,30,642,1236
'Jaborandi - SP',21420,21420,1927800,34700,90000,90,35,3,2,6,0,46,265,412
'Jaboticabal - SP',40000,40000,3600000,110160,90000,90,99,84,12,28,0,223,817,1577
'Jaci - SP',5278,5278,422240,12667,80000,80,10,0,0,2,1,13,100,457
'Jaguariúna - SP',1800,1800,180000,5832,100000,100,35,6,1,6,0,48,34,501
'Jardinópolis - SP',28420,28420,2273600,90944,80000,80,50,50,3,33,6,142,367,968
'Jarinu - SP',200,200,15000,495,75000,75,97,9,1,23,2,132,21,1235
'Jaú - SP',42000,42000,3444000,61992,82000,82,115,106,0,59,2,282,652,1180
'Jeriquara - SP',5000,5000,400000,11400,80000,80,5,0,0,1,0,6,94,339
'Joanópolis - SP',50,50,2050,72,41000,41,10,0,5,5,3,23,844,2053
'João Ramalho - SP',9364,9364,684977,19864,73150,73.15,1,0,0,1,0,2,277,382
'José Bonifácio - SP',8000,8000,720000,21600,90000,90,95,10,11,21,1,138,1145,2442
'Júlio Mesquita - SP',240,240,12000,336,50000,50,7,0,1,1,0,9,84,194
'Jumirim - SP',480,480,48000,1584,100000,100,4,0,0,0,1,5,203,409
'Jundiaí - SP',40,40,2000,66,50000,50,9,0,3,5,2,19,463,3311
'Junqueirópolis - SP',12460,12460,1061592,34396,85200,85.2,8,13,0,3,1,25,1007,1984
'Laranjal Paulista - SP',2800,2800,238000,7616,85000,85,46,11,0,3,2,62,798,2773
'Lavínia - SP',20000,20000,1600000,44800,80000,80,12,1,0,9,0,22,388,624
'Leme - SP',18300,18300,1647000,64447,90000,90,4,5,19,5,2,35,322,1405
'Lençóis Paulista - SP',42000,42000,3150000,131670,75000,75,38,22,1,14,3,78,735,1182
'Limeira - SP',19000,19000,1330000,38570,70000,70,36,4,32,13,5,90,1219,2951
'Lindóia - SP',40,40,3200,104,80000,80,2,0,2,1,5,10,147,413
'Lins - SP',12000,12000,1080000,34992,90000,90,42,6,18,12,2,80,307,721
'Lourdes - SP',4450,4450,453900,12982,102000,102,1,0,0,1,1,3,51,259
'Lucélia - SP',7300,7300,635100,19174,87000,87,15,29,1,10,3,58,520,1060
'Lucianópolis - SP',300,300,24000,778,80000,80,1,1,1,0,0,3,151,345
'Luís Antônio - SP',29500,29500,2802500,83374,95000,95,7,1,8,1,0,17,104,199
'Luiziânia - SP',3325,3325,249375,8080,75000,75,9,2,0,5,0,16,221,477
'Lutécia - SP',7624,7624,686907,19920,90097,90.097,0,0,0,2,2,4,278,616
'Macatuba - SP',15580,15580,1402200,58612,90000,90,33,31,0,7,0,71,415,727
'Macaubal - SP',2200,2200,198000,5346,90000,90,14,2,0,2,0,18,533,1331
'Macedônia - SP',2000,2000,200000,4954,100000,100,20,0,1,9,0,30,377,766
'Magda - SP',2995,2995,223892,7344,74755,74.755,9,3,0,5,0,17,116,466
'Mairinque - SP',63,63,4380,123,69523,69.523,15,0,1,1,0,17,100,425
'Manduri - SP',1130,1130,91530,2837,81000,81,3,0,1,0,3,7,336,946
'Marabá Paulista - SP',9162,9162,732960,21256,80000,80,8,1,1,7,5,22,497,1138
'Maracaí - SP',18291,18291,1547735,49528,84617,84.617,100,25,1,27,0,153,417,1594
'Marapoama - SP',3500,3500,280000,8400,80000,80,2,0,0,0,0,2,172,568
'Mariápolis - SP',700,700,49000,1479,70000,70,6,15,0,11,0,32,567,793
'Marília - SP',120,120,8400,252,70000,70,21,4,1,16,0,42,792,1467
'Martinópolis - SP',11500,11500,1035000,31050,90000,90,22,7,2,14,0,45,897,1675
'Matão - SP',21467,21467,1717360,29195,80000,80,11,1,1,1,0,14,199,834
'Mendonça - SP',3400,3400,306000,9180,90000,90,0,0,0,3,0,3,296,770
'Meridiano - SP',4500,4500,360000,10717,80000,80,12,1,1,1,0,15,328,743
'Mesópolis - SP',657,657,59130,1656,90000,90,14,21,1,3,0,39,207,392
'Miguelópolis - SP',43000,43000,3870000,112230,90000,90,61,0,0,16,0,77,389,1049
'Mineiros do Tietê - SP',13970,13970,1117600,20117,80000,80,31,25,2,10,0,68,271,609
'Mira Estrela - SP',150,150,10500,313,70000,70,16,0,1,2,0,19,227,488
'Mirandópolis - SP',7000,7000,546000,15288,78000,78,19,13,6,24,0,62,945,2146
'Mirante do Paranapanema - SP',1505,1505,150000,4350,99667,99.667,17,3,1,6,0,27,2012,5181
'Mirassol - SP',4780,4780,382400,11472,80000,80,3,0,2,6,2,13,404,842
'Mirassolândia - SP',2200,2200,176000,5280,80000,80,3,0,1,1,0,5,302,629
'Mococa - SP',16500,16500,1402500,45441,85000,85,27,11,15,3,1,57,617,1525
'Mogi Guaçu - SP',11000,11000,1100000,35640,100000,100,71,4,30,16,0,121,182,1347
'Moji Mirim - SP',4900,4900,441000,14288,90000,90,162,13,15,6,3,199,598,2677
'Mombuca - SP',5000,5000,325000,10400,65000,65,45,47,0,4,0,96,281,495
'Monções - SP',1600,1600,177440,5075,110900,110.9,4,8,1,0,0,13,180,318
'Monte Alegre do Sul - SP',110,110,11000,356,100000,100,5,0,3,1,25,34,342,865
'Monte Alto - SP',7200,7200,648000,20995,90000,90,128,1,9,269,2,409,308,2604
'Monte Aprazível - SP',19388,19388,1744920,47113,90000,90,27,10,0,7,0,44,661,2334
'Monte Azul Paulista - SP',9493,9493,892342,16062,94000,94,18,0,5,0,0,23,225,1006
'Monte Castelo - SP',6445,6445,532565,15977,82632,82.632,5,0,0,1,0,6,402,789
'Monte Mor - SP',8000,8000,560000,18144,70000,70,54,10,5,8,901,978,201,912
'Morro Agudo - SP',114000,114000,10260000,297540,90000,90,80,84,5,38,2,209,663,1108
'Motuca - SP',17500,17500,1575000,26775,90000,90,10,1,5,4,3,23,270,744
'Murutinga do Sul - SP',2000,2000,200000,5800,100000,100,4,8,0,5,0,17,106,1142
'Nantes - SP',7400,7400,629000,24323,85000,85,9,0,1,6,0,16,30,238
'Narandiba - SP',13800,13800,1242000,37260,90000,90,11,5,3,3,0,22,54,421
'Natividade da Serra - SP',73,73,4172,188,57150,57.15,5,2,0,0,2,9,376,3199
'Nazaré Paulista - SP',45,45,2025,71,45000,45,3,0,3,0,1,7,83,1762
'Neves Paulista - SP',6000,6000,480000,12960,80000,80,18,5,1,5,0,29,179,844
'Nhandeara - SP',12700,12700,1143000,30861,90000,90,9,9,1,4,0,23,355,1447
'Nipoã - SP',6800,6800,544000,14688,80000,80,1,0,0,2,0,3,148,466
'Nova Aliança - SP',8000,8000,720000,21600,90000,90,12,0,1,2,0,15,179,612
'Nova Canaã Paulista - SP',300,300,30000,945,100000,100,2,1,0,0,0,3,148,1011
'Nova Castilho - SP',258,258,18576,613,72000,72,7,2,2,6,0,17,192,330
'Nova Europa - SP',8500,8500,722500,12283,85000,85,6,3,0,2,1,12,120,401
'Nova Granada - SP',5400,5400,540000,16200,100000,100,19,2,4,8,1,34,188,1132
'Nova Guataporanga - SP',370,370,37000,1199,100000,100,2,0,0,0,0,2,41,274
'Nova Independência - SP',4000,4000,440000,13200,110000,110,5,0,0,6,0,11,73,143
'Nova Luzitânia - SP',1780,1780,151300,4236,85000,85,0,1,1,3,0,5,65,313
'Nova Odessa - SP',2700,2700,162000,5249,60000,60,10,3,0,2,0,15,96,259
'Novais - SP',7400,7400,629000,18870,85000,85,1,2,0,0,0,3,154,233
'Novo Horizonte - SP',36889,36889,3320010,99600,90000,90,20,40,0,26,1,87,726,2189
'Nuporanga - SP',19277,19277,1542160,44723,80000,80,11,4,1,4,1,21,357,887
'Ocauçu - SP',1573,1573,157300,4719,100000,100,7,3,2,7,9,28,73,940
'Óleo - SP',800,800,64000,1920,80000,80,9,2,4,1,0,16,85,807
'Olímpia - SP',36367,36367,3273030,58915,90000,90,52,81,6,24,5,168,598,2581
'Onda Verde - SP',9800,9800,833000,24990,85000,85,13,24,8,7,0,52,113,348
'Oriente - SP',5000,5000,400000,12000,80000,80,6,14,0,3,0,23,48,288
'Orindiúva - SP',14300,14300,1215500,36465,85000,85,38,28,9,12,0,87,163,395
'Orlândia - SP',17900,17900,1646800,47757,92000,92,15,11,3,9,0,38,89,292
'Oscar Bressane - SP',118,118,9913,284,84008,84.008,9,0,0,2,1,12,114,687
'Osvaldo Cruz - SP',2400,2400,216000,6521,90000,90,5,0,0,5,3,13,80,1560
'Ourinhos - SP',16500,16500,1650000,53460,100000,100,41,42,1,9,1,94,65,599
'Ouro Verde - SP',7800,7800,656760,21279,84200,84.2,19,0,1,2,0,22,56,614
'Ouroeste - SP',3000,3000,225000,6698,75000,75,13,0,0,1,0,14,98,526
'Pacaembu - SP',8000,8000,720000,21737,90000,90,4,1,1,2,0,8,142,1155
'Palestina - SP',18300,18300,1464000,43920,80000,80,28,32,13,6,1,80,299,1498
'Palmares Paulista - SP',4700,4700,399500,11985,85000,85,7,13,0,2,0,22,71,107
'Palmital - SP',17102,17102,1678253,53704,98131,98.131,127,22,1,44,5,199,748,2493
'Paraguaçu Paulista - SP',57600,57600,4723200,135414,82000,82,17,5,0,8,0,30,580,2114
'Paraibuna - SP',180,180,5400,378,30000,30,3,27,0,1,0,31,146,1843
